TFBS_homology_group	Transcription.Factor.Name
L1488	ELF5
L1489	Arid3a
L149	NFIA
L1490	Arid3a
L1491	NFIX
L1492	TBX3
L1493	TBX3
L1494	TBX3
L1495	NFIX
L1496	FOXC2
L1497	TBX3
L1498	Arid3a
L1499	FOXC2
L15	TBX3
L150	FOXC2
L1500	FOXC2
L1501	FOXC2
L1502	MEIS1
L1503	FOXO3
L1504	FOXO3
L1505	RORA
L1506	RORA
L1507	NFATC1
L1508	FOXO3
L1509	FOXO4
L151	FOXC2
L1510	FOXO4
L1511	NFIX
L1512	NFIA
L1513	Ddit3Cebpa
L1514	TBX3
L1515	FOXO4
L1516	FOXO4
L1517	Arid3a
L1518	MEIS1
L1519	NFIX
L152	Irx2
L1520	NFIX
L1521	NFATC1
L1522	TBX3
L1523	ZNF740
L1524	Arid3a
L1525	NFIX
L1526	NFIX
L1527	Arid3a
L1528	Arid3a
L1529	Arid3a
L153	Arid3a
L1530	Dlx4
L1531	Arid3a
L1532	Arid3a
L1533	FOXO4
L1534	NFIX
L1535	NFATC1
L1536	NFIX
L1537	ZNF740
L1538	NR4A1
L1539	NFIX
L154	NFIX
L1540	TBX3
L1541	MEIS1
L1542	TBX3
L1543	FOXI1
L1544	TBX3
L1545	RORA
L1546	TBX3
L1547	TBX3
L1548	TBX3
L1549	TBX3
L155	KLF11
L1550	FIGLA
L1551	GRHL2
L1552	NFIX
L1553	NFIX
L1554	ZBTB26
L1555	NFIX
L1556	MEIS1
L1557	TBX3
L1558	TBX3
L1559	PITX2
L156	ELF5
L1560	TFAP4
L1561	FIGLA
L1562	NFIX
L1563	TFAP4
L1564	TFAP4
L1565	TFAP4
L1566	ZNF341
L1567	ZNF341
L1568	TFAP4
L1569	FIGLA
L157	Arid3a
L1570	FIGLA
L1571	TFAP4
L1572	Dlx4
L1573	NFIX
L1574	ZNF341
L1575	ZNF341
L1576	ZNF341
L1577	XBP1
L1578	NFE2L1
L1579	ZNF341
L158	Arid3a
L1580	MEIS1
L1581	SOX9
L1582	TBX3
L1583	FOS
L1584	CREB3
L1585	MEIS1
L1586	MEIS1
L1587	Arid3a
L1588	FOS
L1589	FOXC2
L159	MEIS1
L1590	FOXC2
L1591	Arid3a
L1592	NFIX
L1593	NFIA
L1594	MEIS1
L1595	RORC
L1596	TBX3
L1597	Arid3a
L1598	Arid3a
L1599	FOXO3
L16	ZNF341
L160	Creb3l2
L1600	Dlx4
L1601	FOXO3
L1602	FOXC2
L1603	FOXI1
L1604	FOXO4
L1605	FOXI1
L1606	MEIS1
L1607	FOXI1
L1608	TBX3
L1609	SREBF2
L161	CLOCK
L1610	Arid3a
L1611	Dlx4
L1612	Arid3a
L1613	ATF2
L1614	ATF2
L1615	FIGLA
L1616	Dlx4
L1617	Arid3a
L1618	Arid3a
L1619	Dlx4
L162	Creb3l2
L1620	Dlx4
L1621	Dlx4
L1622	SREBF2
L1623	RORC
L1624	JUN
L1625	SOX9
L1626	Arid3a
L1627	Bhlha15
L1628	Arid3a
L1629	RORA
L163	CLOCK
L1630	NFIX
L1631	Arid3a
L1632	Arid3a
L1633	FOS
L1634	Arid3a
L1635	ATF4
L1636	Arid3a
L1637	NFIX
L1638	FOS
L1639	Dlx4
L164	NFATC1
L1640	Arid3a
L1641	NFATC1
L1642	MEIS1
L1643	NR4A2
L1644	Dlx4
L1645	NFIX
L1646	MEIS1
L1647	NR4A2
L1648	BARX2
L1649	Dlx4
L165	FOXO4
L1650	MEIS1
L1651	Irx2
L1652	Arid3a
L1653	MEIS1
L1654	RORA
L1655	RORC
L1656	Irx2
L1657	ELF5
L1658	FOXC2
L1659	Dlx4
L166	FOXO4
L1660	NR4A2
L1661	SOX9
L1662	NFATC1
L1663	FOXO4
L1664	FOXO3
L1665	Dlx4
L1666	NFATC1
L1667	SOX9
L1668	Arid3a
L1669	Arid3a
L167	PITX2
L1670	FOXO4
L1671	NFATC1
L1672	FOXC2
L1673	Arid3a
L1674	Dlx4
L1675	Dlx4
L1676	Dlx4
L1677	Dlx4
L1678	Dlx4
L1679	Dlx4
L168	Creb3l2
L1680	SOX10
L1681	FOXC2
L1682	TBX3
L1683	FOXC2
L1684	FOXI1
L1685	FOXO3
L1686	Arid3a
L1687	Dlx4
L1688	SOX10
L1689	Arid3a
L169	Creb3l2
L1690	Arid3a
L1691	Arid3a
L1692	Arid3a
L1693	SOX9
L1694	BARX2
L1695	Arid3a
L1696	POU6F1
L1697	ZNF652
L1698	ZNF652
L1699	BARX2
L17	Ddit3Cebpa
L170	Irx2
L1700	Arid3a
L1701	Arid3a
L1702	Arid3a
L1703	Arid3a
L1704	Arid3a
L1705	Arid3a
L1706	Arid3a
L1707	NFIX
L1708	Arid3a
L1709	Arid3a
L171	Arnt
L1710	TBX3
L1711	Arid3a
L1712	Arid3a
L1713	Arid3a
L1714	Arnt
L1715	TBX3
L1716	NFIX
L1717	TBX3
L1718	TBX3
L1719	TBX3
L172	Arnt
L1720	TBX3
L1721	FOXO4
L1722	ZNF652
L1723	Arid3a
L1724	ZNF341
L1725	ZNF341
L1726	Dlx4
L1727	SOX9
L1728	TBX3
L1729	Bhlha15
L173	TBX3
L1730	MEIS1
L1731	NFIX
L1732	TBX3
L1733	MEIS1
L1734	SOX9
L1735	TBX3
L1736	TBX3
L1737	FOXC2
L1738	FOXC2
L1739	FOXC2
L174	TBX3
L1740	Tcfcp2l1
L1741	EHF
L1742	TBX3
L1743	NFATC1
L1744	ELF5
L1745	FOXC2
L1746	MEIS1
L1747	FOXO3
L1748	NFATC1
L1749	MEIS1
L175	TBX3
L1750	ZBTB6
L1751	SOX9
L1752	TBX3
L1753	Dlx4
L1754	TBX3
L1755	TBX3
L1756	FOXC2
L1757	FOXO3
L1758	FOXO4
L1759	FOXO4
L176	TBX3
L1760	NFATC1
L1761	ELF5
L1762	NFATC1
L1763	ELF5
L1764	Bhlha15
L1765	Arid3a
L1766	Arid3a
L1767	NR4A2
L1768	TFAP2A
L1769	Arid3a
L177	ZBTB6
L1770	MEIS1
L1771	Arid3a
L1772	Arid3a
L1773	FOS
L1774	FOXC2
L1775	POU6F1
L1776	TFAP2A
L1777	NR4A2
L1778	NR4A2
