CV1298	CV1297	CV1086	CV1082	CV1095	CV1299	CV1089	CV1300	CV0857	CV1087	CV1096
maker-scaffold-Z-augustus-gene-17.16_crovir-transcript-1771	8.1596778972833	7.13354579787662	7.40019051978825	7.36006697409711	7.92663593645202	7.65796309881264	8.17197426671302	7.52210056743299	7.64111156722095	8.98762292073935	8.15759332330722
PRSS55	7.89111762214001	6.95451033861013	7.14301351754113	6.42595854201502	7.16007845200088	6.72234515182861	7.00545427004674	6.17692560252905	7.86513478218399	7.55168453359982	6.65289872670792
ZMYND15	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.16761950171538	4.95802259446861	4.95802259446861	5.24293680403302	5.27444732076478	4.95802259446861
ACTR3B	6.47577521662066	6.36665201766725	7.60600514192893	6.08349245265344	7.05091532610057	6.95465178272183	6.37158728989527	6.33859972760096	6.27991582846521	7.59835570114381	6.41538437324774
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-19.0	5.32639064383066	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
DPP6	7.39652237622843	7.18047435238715	7.18491625599789	7.27087688835346	8.09497124902175	7.56342083900914	7.88823609293587	7.42795461804853	8.47656125180951	6.77675768805295	8.03933568265907
PAXIP1	7.21292383643895	6.88397200557208	6.92731986442895	7.63268445575229	7.59103296102002	7.26496969263146	7.54067029454287	6.88187393983639	7.45826884157141	6.59144330452931	6.61317608230157
HTR5A	4.95802259446861	4.95802259446861	4.95802259446861	5.31332615210086	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
INSIG1	11.8348275266447	11.7535152927502	12.071084417911	13.2405000219794	13.1883862136948	10.6042523396221	10.7273184394867	9.93015578687255	10.6635127077024	11.1894261613705	9.91369061295315
EN2	4.95802259446861	4.95802259446861	5.37751162486822	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
CNPY2	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.39141797371924	4.95802259446861	4.95802259446861	5.40960332443457	4.95802259446861	4.95802259446861	4.95802259446861
RBM33	6.94980226609134	6.49413619477804	7.49067278224635	8.87752716699243	8.52751983181515	6.96278177780074	7.40541913088741	6.9789492957391	7.51869833609323	6.93769149603849	6.34085527579715
CACNG4	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24482601473204
SHH	5.40857286944853	4.95802259446861	4.95802259446861	5.31332615210086	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.36296154062639
TATDN2	4.95802259446861	4.95802259446861	5.61786569043426	4.95802259446861	4.95802259446861	5.32042089496107	5.51054650070741	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
RNF32	4.95802259446861	4.95802259446861	5.37751162486822	4.95802259446861	4.95802259446861	5.16761950171538	5.23554789436786	4.95802259446861	4.95802259446861	4.95802259446861	5.24482601473204
LMBR1	8.83069805585149	8.08145842952074	9.1308793643507	8.83306122406599	9.12369916544338	8.87714035076041	9.36014214916065	8.54003575836324	9.53039812065369	7.96845982640144	8.46248014861202
NOM1	10.4054080539728	9.69396483909963	10.390518975072	10.2727362626804	10.4303142097498	10.0723231410367	9.48176861616646	9.67561797417888	10.3423994413708	9.66326390787954	8.44201345350193
MNX1	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.26505330141302	4.95802259446861	4.95802259446861	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
UBE3C	7.95272816298983	7.29097500485791	8.44232183764044	8.72683491338348	8.96900523487345	8.20370396047115	8.51736718182846	7.83829327207031	8.53966663026002	8.2571915956348	7.57127869495023
DNAJB6	10.7154140636573	9.9267107210453	10.7478592612586	11.1854004811001	10.704125779157	11.0552479993012	10.4769577606899	10.0986640928975	10.8949653679573	10.1461691800095	9.65789434440789
PTPRN2	4.95802259446861	4.95802259446861	5.25516666755428	5.94609013707931	5.48783726444286	5.25417786538943	4.95802259446861	5.14300644336062	5.24293680403302	5.18199242901773	4.95802259446861
PTPRN2.1	5.32639064383066	5.88456701008994	5.25516666755428	6.10867040000418	5.56867476851978	5.42506569683224	5.34990220293201	5.37053577996723	5.44992461509756	5.27444732076478	4.95802259446861
NCAPG2	5.32639064383066	5.49902873068522	5.25516666755428	5.94609013707931	5.26505330141302	5.70599444922983	6.16551359183608	5.64415820311518	6.25268052396471	5.84095791166422	5.24482601473204
XP_024302613	7.97069369213829	7.62707336619387	8.59432951903784	8.89493348322469	8.63981706645369	8.53040807287126	8.71764497983836	8.50157251188777	8.85373804890436	8.36392681411311	8.03246460942075
WDR60	6.17427681890717	5.98970245090329	6.94398876710751	6.87542569867308	6.55939109734619	6.9132021356583	7.23213787117654	6.52513323988149	6.8230571442117	5.91748540644822	6.97701352775469
VIPR2	5.81175932232944	5.6187175394014	5.25516666755428	5.78214004045617	5.63950687840908	5.16761950171538	5.57483666579716	5.64415820311518	5.44992461509756	6.44463989224847	4.95802259446861
ZMYND11	5.64260879870031	4.95802259446861	6.36042838515357	7.1851506940696	6.85813651882653	5.94475304324249	6.69493947142306	6.4406578555524	6.80618328867581	6.3082927667238	6.69133939983389
